Nombre ;Apellido;Fecha de nacimiento;tipo Documento;Nro documento;Femenino;genero;Telefono fijo;Nacionalidad;Mail;Calle y Nro;Localidad;Provincia
Jonatan ;del Guzman;1/1/1970;DNI;25111001;Masculino;Hombre;(960) 905-6170;argentina;amaranth@mac.com;Alvear 2446;Villa Ballester;BUENOS AIRES
Juan José Giménez ;Calzada;2/1/1970;DNI;25111002;Masculino;Hombre;(705) 896-8293;argentina;tkrotchko@comcast.net;Yerbal 2701;Flores;CAPITAL FEDERAL
Pepita ;del Gallart;4/1/1970;DNI;25111003;Femenino;Mujer;(455) 437-3253;argentina;dawnsong@icloud.com;AVENIDA OCAMPO 815;SAN FDO DEL VALLE DE CATAMARCA;CATAMARCA
Samanta Casandra ;Borrell Maestre;23/1/1970;DNI;25111004;Femenino;Mujer;(661) 929-3370;argentina;jshearer@mac.com;Murguiondo 4324;Villa Lugano;CAPITAL FEDERAL
Soledad Ani ;Garrido Duran;28/1/1970;DNI;25111005;Femenino;Mujer;(792) 524-2198;argentina;eegsa@sbcglobal.net;RIVADAVIA Nº 5;JUNIN;BUENOS AIRES
Juan Carlos ;del Cor;16/2/1970;DNI;25111006;Masculino;Hombre;(200) 565-5639;argentina;dobey@msn.com;Warnes 2707;La Paternal;CAPITAL FEDERAL
Susanita ;Zaragoza Higueras;1/3/1970;DNI;25111007;Femenino;Mujer;(625) 240-8609;argentina;schwaang@mac.com;Álvarez Jonte 1938;Villa General Mitre;BUENOS AIRES
Urbano ;Rosselló Llabrés;3/3/1970;DNI;25111008;Masculino;Hombre;(650) 311-4823;argentina;vertigo@optonline.net;AVENIDA MAIPU 999 ;VICENTE LOPEZ;BUENOS AIRES
Ana Belén ;Alvarado Bueno;13/3/1970;DNI;25111009;Femenino;Mujer;(366) 604-3609;argentina;gfxguy@outlook.com;PERON TENIENTE GENERAL JUAN DOMINGO Nº 2821;ONCE;CAPITAL FEDERAL
Teodosio ;Arteaga Nicolau;25/3/1970;DNI;25111010;Masculino;Hombre;(956) 901-0189;argentina;msherr@mac.com;Av. Rivadavia 8421;Floresta;CAPITAL FEDERAL
Vicente ;de Manzano;13/4/1970;DNI;25111011;masculino;Hombre;(984) 925-1479;argentina;jdhedden@verizon.net;Fitz Roy 2470;Palermo;CAPITAL FEDERAL
Áurea ;Sandoval Robles;17/4/1970;DNI;25111012;Femenino;Mujer;(636) 558-0180;argentina;skythe@optonline.net;CASTELAR Nº 974;GARIN;BUENOS AIRES
Timoteo ;Pacheco Pozo;20/4/1970;DNI;25111013;Masculino;Hombre;(738) 345-5103;argentina;damian@icloud.com;Chivilicoy 3840;Villa Devoto;CAPITAL FEDERAL
Irene ;Orozco Millán;14/5/1970;DNI;25111014;Femenino;Mujer;(609) 330-8191;argentina;phyruxus@mac.com;DEL LIBERTADOR GRAL SAN MARTIN Nº 233;GENERAL RODRIGUEZ;BUENOS AIRES
Tecla Gertrudis ;Fortuny Santana;17/5/1970;DNI;25111015;Femenino;Mujer;(286) 437-9985;argentina;ranasta@att.net;José Pedro Varela 3191;Villa del Parque;CAPITAL FEDERAL
